case,algo,eta_pct,P_ss_W,V_ss_V,P_gmpp_W,ripple_W,t_track_s,energy_pct,success
Case1_Uniform,P&O,99.98605965881673,452.6597421146818,89.79874270016501,452.722853225036,0.0687099695640843,0.68,85.17404522685693,True
Case1_Uniform,PSO,99.99919878929258,452.71922596106106,89.74042122310767,452.722853225036,0.004847479340214227,0.04,98.58552147704874,True
Case1_Uniform,FOA,99.44624396617075,450.2158731087784,88.78787294062238,452.722853225036,6.45173474676952,0.2,91.30690393939435,True
Case1_Uniform,AH-FOA,99.62672898877061,451.03297005273635,91.46788804570382,452.722853225036,0.0,0.12,96.86404254622238,True
Case2_Light,P&O,74.40362861259447,107.03054477632092,20.470061722875272,143.85124324192384,2.6917767177326666,0.29,67.86425833413702,False
Case2_Light,PSO,84.32787347886241,121.30669439882016,28.80306649255262,143.85124324192384,21.718041035761303,0.04,78.72598112949073,False
Case2_Light,FOA,99.71470974739366,143.44084966670158,29.089296015234606,143.85124324192384,2.995911226518785e-14,0.18,83.69468494167769,True
Case2_Light,AH-FOA,99.71470974739366,143.44084966670158,29.089296015234606,143.85124324192384,2.995911226518785e-14,0.18,88.16617767860134,True
Case3_Heavy,P&O,74.28196420241005,106.85552900968767,20.470061722875272,143.85124324192384,2.6642909181051655,0.29,65.58951194184759,False
Case3_Heavy,PSO,69.37615578113008,99.79846260460945,27.27472046151763,143.85124324192384,27.450392808240302,0.02,73.17060479915168,False
Case3_Heavy,FOA,68.33526308315246,98.30112551775423,22.583480449648558,143.85124324192384,28.532621391580278,0.03,63.61671420485302,False
Case3_Heavy,AH-FOA,99.71470974739366,143.44084966670158,29.089296015234606,143.85124324192384,2.995911226518785e-14,0.18,86.85695780942618,True
Case4_Severe,P&O,74.21373444356769,106.75737965333197,20.470061722875272,143.85124324192384,2.663570634089648,0.29,64.31193820286794,False
Case4_Severe,PSO,77.3973969881175,111.33711780429435,28.657230538732797,143.85124324192384,41.805126447376225,0.04,66.49463463325593,False
Case4_Severe,FOA,62.87234517785082,90.44265019369216,21.489189190498898,143.85124324192384,40.55794521873496,0.02,53.51276265194307,False
Case4_Severe,AH-FOA,99.71470974739366,143.44084966670158,29.089296015234606,143.85124324192384,2.995911226518785e-14,0.12,82.77499500999376,True
Case5_Dynamic,P&O,86.67404979658686,99.6157658951198,24.419136246290634,114.93147733249515,6.897922021979127,0.0,76.09542760535156,False
Case5_Dynamic,PSO,73.54901246368406,84.53096658797308,25.294951402251037,114.93147733249515,22.83306287729332,0.0,87.15360282728005,False
Case5_Dynamic,FOA,63.21521005460871,72.6541748146018,22.668690990024952,114.93147733249515,24.70106800550061,0.0,76.78035999310234,False
Case5_Dynamic,AH-FOA,72.0292541233063,82.78428587549311,28.971248480058534,114.93147733249515,16.007985528052487,0.0,85.55225521136914,False
