case,algo,eta_mean,eta_std,t_mean,t_std,ripple_mean,ripple_std,E_mean,E_std
Case1_Uniform,P&O,99.98605965881671,1.4210854715202004e-14,0.6799999999999999,1.1102230246251565e-16,0.06870996956408429,1.3877787807814457e-17,85.17404522685692,1.4210854715202004e-14
Case1_Uniform,PSO,99.77127555413043,0.17566005081701055,0.15350000000000003,0.11221742288967433,0.06540083251462542,0.14903881745509942,94.42885269114505,2.7056856632292496
Case1_Uniform,FOA,99.81304853156662,0.1518500581683972,0.122,0.05259277516921883,0.841692952862387,1.374273108559488,94.59004590106716,3.001392469493466
Case1_Uniform,AH-FOA,99.98010377823448,0.08106987460982852,0.092,0.041545156155681974,0.005209273603937736,0.0013298201711829168,96.06933276402741,1.7302899712264372
Case2_Light,P&O,74.40362861259447,0.0,0.29,0.0,2.691776717732666,4.440892098500626e-16,67.86425833413702,0.0
Case2_Light,PSO,92.76379384771033,10.784137149866224,0.1665,0.09210184580126503,6.621075720826258,9.928947354251,82.73179583804928,9.999423961409835
Case2_Light,FOA,87.43532501239123,16.04211283289704,0.1575,0.1255736835487436,10.686416851648605,14.00787272384369,80.42208356002165,9.170146101562862
Case2_Light,AH-FOA,98.14119004475218,6.858813369469403,0.21150000000000002,0.14160773283970055,1.1287964252920255,4.920309545618792,87.11135593791664,5.282471305309688
Case3_Heavy,P&O,74.28196420241007,1.4210854715202004e-14,0.29,0.0,2.6642909181051655,0.0,65.58951194184759,0.0
Case3_Heavy,PSO,89.95122477285668,13.347620873731943,0.15050000000000002,0.08991523786322315,10.5549648277452,14.265590808491522,80.80062291010935,8.628639212855152
Case3_Heavy,FOA,83.3598657903199,17.5728926282721,0.167,0.12321120078953862,17.126377034560857,17.574148207064965,75.1846533133328,11.712219893560805
Case3_Heavy,AH-FOA,91.12881578550117,13.578581313094922,0.1785,0.18078371054937442,11.272871948903456,16.607073659725515,79.98441682701484,10.339712977759831
Case4_Severe,P&O,74.2137344435677,1.4210854715202004e-14,0.29,0.0,2.6635706340896474,4.440892098500626e-16,64.31193820286792,1.4210854715202004e-14
Case4_Severe,PSO,74.42301855807348,15.661997840443675,0.0755,0.055088565056643106,31.726437929226716,16.578635852113468,67.93634996509672,9.98140470475497
Case4_Severe,FOA,69.66872812805352,14.057285841109387,0.0885,0.10374367450596687,38.762312615974,14.337651583816232,65.3446100543865,9.670497944379704
Case4_Severe,AH-FOA,93.29059838893214,11.481120091668021,0.15800000000000003,0.06712674578735364,7.843617746984252,15.460429006314499,75.8569881006018,7.705455654475943
Case5_Dynamic,P&O,99.98610850285942,0.0,0.030000000000000006,6.938893903907228e-18,0.042311658448825916,6.938893903907228e-18,87.71587582812097,0.0
Case5_Dynamic,PSO,99.85541643025707,0.28885280738179697,0.026500000000000003,0.018781639970992945,0.029750958286369866,0.06271998377476866,89.53046491035444,4.281886606496111
Case5_Dynamic,FOA,98.77840706620631,3.3766249368560213,0.009000000000000003,0.003,3.4705740262827383,9.508900085830692,88.92320806244817,1.878111918226539
Case5_Dynamic,AH-FOA,95.73266930091606,3.4546313218060396,0.004999999999999999,0.005,22.90985554001715,19.45395468278786,88.50354820594586,2.147991840371343
